,number,value,datetime_start,datetime_complete,duration,params_colsample_bylevel,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,state
76,76,0.8248400808561784,2020-11-24 22:20:32.896716,2020-11-25 08:00:58.443239,0 days 09:40:25.546523000,0.72,0.52,2,0.06431488215385839,22,1,887,0,0,0.71,COMPLETE
77,77,0.8275188389916213,2020-11-24 22:37:04.117116,2020-11-25 07:32:06.460283,0 days 08:55:02.343167000,0.5700000000000001,0.5,1,0.01632416779445743,20,1,893,0,0,0.75,COMPLETE
78,78,0.8262921590204698,2020-11-24 22:37:12.584983,2020-11-25 08:02:02.299365,0 days 09:24:49.714382000,0.73,0.51,2,0.06406752299028609,21,1,894,0,0,0.71,COMPLETE
79,79,0.827769327527427,2020-11-24 22:57:57.722252,2020-11-25 06:52:39.479200,0 days 07:54:41.756948000,0.5700000000000001,0.52,1,0.06555784252964703,21,1,914,0,0,0.72,COMPLETE
80,80,0.828515937630787,2020-11-24 23:24:23.371598,2020-11-25 03:26:55.041241,0 days 04:02:31.669643000,0.56,0.5,1,0.05047023815535543,21,3,905,0,0,0.64,COMPLETE
81,81,0.8265509642886656,2020-11-24 23:42:16.099250,2020-11-25 03:25:38.247184,0 days 03:43:22.147934000,0.47,0.52,1,0.06024194267325294,21,3,907,0,0,0.64,COMPLETE
82,82,0.8272737526455266,2020-11-24 23:58:31.874821,2020-11-25 04:39:30.229602,0 days 04:40:58.354781000,0.56,0.51,1,0.050795324501667655,21,3,900,0,0,0.72,COMPLETE
83,83,0.8275128813679101,2020-11-25 00:08:20.799653,2020-11-25 06:53:12.629504,0 days 06:44:51.829851000,0.72,0.53,1,0.008333548550636073,21,3,920,0,2,0.72,COMPLETE
84,84,0.8228810943275816,2020-11-25 00:22:58.700972,2020-11-25 04:42:22.750063,0 days 04:19:24.049091000,0.5700000000000001,0.52,1,0.06499135797548096,21,3,904,0,2,0.73,COMPLETE
85,85,0.8114001903391637,2020-11-25 00:23:00.591265,2020-11-25 03:51:53.655660,0 days 03:28:53.064395000,0.56,0.52,1,0.4944618382554953,20,3,876,0,2,0.74,COMPLETE
86,86,0.8238578792210658,2020-11-25 00:30:50.739835,2020-11-25 04:19:58.290816,0 days 03:49:07.550981000,0.5700000000000001,0.51,1,0.05247036816227842,20,3,894,0,2,0.64,COMPLETE
87,87,0.8236151635907925,2020-11-25 00:46:20.677950,2020-11-25 04:37:57.335532,0 days 03:51:36.657582000,0.44000000000000006,0.51,1,0.062145028845957434,20,3,902,0,4,0.74,COMPLETE
88,88,0.8272868547232471,2020-11-25 01:23:35.524398,2020-11-25 06:40:49.123502,0 days 05:17:13.599104000,0.58,0.52,1,0.02673438160015151,21,3,906,0,4,0.72,COMPLETE
89,89,0.8265521598673097,2020-11-25 01:30:48.075474,2020-11-25 07:28:22.630704,0 days 05:57:34.555230000,0.58,0.53,1,0.0074565114437779535,21,3,893,0,4,0.73,COMPLETE
90,90,0.8263076610898036,2020-11-25 01:43:45.255554,2020-11-25 07:34:08.967871,0 days 05:50:23.712317000,0.5700000000000001,0.52,1,0.007895286206242365,20,3,895,0,4,0.74,COMPLETE
91,91,0.8299656362449322,2020-11-25 02:27:24.853546,2020-11-25 08:38:24.785040,0 days 06:10:59.931494000,0.64,0.49,1,0.008085620541512137,20,3,897,0,0,0.74,COMPLETE
92,92,0.8253338083216694,2020-11-25 02:52:21.425918,2020-11-25 09:08:17.721690,0 days 06:15:56.295772000,0.44000000000000006,0.26,1,0.008440550579034879,20,0,632,0,0,0.74,COMPLETE
93,93,0.8270405581606124,2020-11-25 03:25:38.734303,2020-11-25 08:17:29.366926,0 days 04:51:50.632623000,0.5700000000000001,0.45999999999999996,1,0.008625563570848094,20,3,908,0,2,0.74,COMPLETE
94,94,0.820939352132617,2020-11-25 03:26:55.261723,2020-11-25 09:27:09.154835,0 days 06:00:13.893112000,0.65,0.49,1,0.06506051372311067,20,0,908,0,2,0.63,COMPLETE
95,95,0.8250881402105575,2020-11-25 03:51:59.805293,2020-11-25 10:09:35.383175,0 days 06:17:35.577882000,0.38,0.47,1,0.06546637341358526,21,0,902,0,0,0.64,COMPLETE
96,96,0.8233652743166964,2020-11-25 04:19:58.642578,2020-11-25 10:27:24.572510,0 days 06:07:25.929932000,0.64,0.45999999999999996,1,0.06322207258606889,21,0,925,0,0,0.6,COMPLETE
97,97,0.8258150884060012,2020-11-25 04:37:57.762567,2020-11-25 10:26:04.107419,0 days 05:48:06.344852000,0.64,0.47,1,0.008731704577427684,19,0,822,0,0,0.6,COMPLETE
98,98,0.8280400743740625,2020-11-25 04:39:30.901015,2020-11-25 07:55:34.717600,0 days 03:16:03.816585000,0.64,0.44000000000000006,1,0.06937261817191473,21,3,796,0,0,0.64,COMPLETE
99,99,0.8238644302169368,2020-11-25 04:42:22.981424,2020-11-25 08:07:17.920939,0 days 03:24:54.939515000,0.64,0.45000000000000007,1,0.042254128665490776,19,3,801,0,0,0.64,COMPLETE
